iter	Passed	Remaining
0	72	72831
1	73	36808
2	74	24729
3	74	18668
4	75	15085
5	76	12718
6	77	11006
7	79	9840
8	80	8827
9	80	7996
10	81	7314
11	81	6746
12	82	6267
13	83	5862
14	83	5510
15	84	5203
16	85	4928
17	85	4682
18	86	4460
19	86	4260
20	87	4079
21	89	3971
22	91	3874
23	91	3739
24	92	3610
25	93	3489
26	93	3380
27	95	3303
28	97	3250
29	97	3159
30	98	3073
31	98	2991
32	99	2914
33	100	2844
34	100	2782
35	102	2756
36	105	2735
37	105	2677
38	106	2622
39	107	2568
40	107	2518
41	109	2507
42	110	2460
43	111	2416
44	111	2374
45	112	2332
46	113	2293
47	113	2256
48	114	2220
49	115	2185
50	115	2151
51	116	2118
52	116	2087
53	117	2061
54	118	2034
55	119	2011
56	119	1984
57	120	1963
58	121	1938
59	122	1914
60	122	1890
61	123	1866
62	123	1843
63	125	1838
64	127	1838
65	128	1816
66	128	1796
67	129	1775
68	130	1757
69	130	1739
70	131	1722
71	132	1705
72	133	1689
73	133	1673
74	134	1657
75	135	1641
76	135	1625
77	136	1610
78	136	1595
79	137	1583
80	138	1572
81	139	1558
82	139	1542
83	140	1529
84	140	1517
85	141	1505
86	142	1492
87	142	1480
88	143	1469
89	144	1458
90	144	1447
91	145	1437
92	146	1426
93	147	1418
94	147	1408
95	148	1398
96	149	1387
97	149	1376
98	150	1366
99	150	1357
100	151	1347
101	152	1338
102	152	1330
103	153	1321
104	153	1312
105	154	1303
106	155	1294
107	155	1286
108	157	1286
109	159	1287
110	159	1279
111	160	1271
112	161	1263
113	161	1256
114	162	1249
115	162	1241
116	163	1233
117	164	1226
118	164	1219
119	165	1212
120	166	1207
121	166	1200
122	167	1193
123	167	1186
124	168	1180
125	169	1174
126	169	1167
127	170	1161
128	171	1155
129	171	1149
130	172	1142
131	172	1136
132	173	1130
133	174	1126
134	175	1123
135	176	1120
136	177	1115
137	177	1109
138	178	1104
139	178	1098
140	179	1093
141	179	1087
142	180	1081
143	181	1077
144	181	1072
145	182	1067
146	183	1062
147	183	1057
148	184	1052
149	184	1047
150	185	1042
151	186	1038
152	186	1033
153	187	1029
154	187	1024
155	188	1020
156	189	1015
157	189	1011
158	190	1007
159	191	1002
160	191	997
161	192	993
162	192	989
163	193	985
164	194	983
165	194	979
166	195	975
167	196	971
168	196	967
169	197	964
170	198	960
171	198	956
172	199	953
173	200	949
174	200	946
175	201	943
176	202	939
177	202	936
178	203	932
179	203	929
180	204	925
181	205	922
182	205	919
183	206	916
184	207	913
185	207	910
186	208	907
187	209	903
188	209	900
189	210	897
190	211	894
191	211	891
192	212	888
193	213	885
194	213	882
195	214	880
196	215	877
197	215	874
198	216	872
199	217	869
200	217	866
201	218	863
202	219	861
203	220	858
204	220	855
205	221	853
206	221	850
207	222	847
208	223	844
209	223	842
210	224	839
211	225	836
212	226	835
213	226	833
214	227	831
215	228	828
216	228	825
217	229	823
218	229	820
219	230	817
220	231	815
221	232	813
222	232	810
223	233	808
224	233	805
225	234	803
226	235	801
227	235	798
228	236	795
229	236	792
230	237	790
231	238	788
232	238	786
233	239	783
234	240	781
235	240	779
236	241	777
237	241	774
238	242	772
239	243	769
240	243	767
241	244	765
242	245	763
243	245	761
244	246	759
245	247	757
246	247	755
247	248	753
248	249	751
249	249	749
250	250	747
251	251	745
252	251	743
253	252	741
254	253	739
255	253	737
256	254	735
257	255	733
258	255	731
259	256	729
260	257	728
261	257	725
262	258	724
263	259	722
264	259	720
265	260	718
266	260	716
267	261	714
268	262	712
269	262	710
270	263	708
271	264	706
272	264	705
273	265	703
274	266	701
275	266	700
276	267	698
277	268	696
278	268	694
279	269	693
280	270	691
281	271	690
282	271	688
283	272	686
284	273	685
285	273	683
286	274	681
287	274	679
288	275	678
289	276	676
290	276	674
291	277	672
292	278	671
293	278	669
294	279	667
295	280	665
296	280	664
297	281	662
298	281	661
299	283	661
300	283	659
301	285	658
302	285	657
303	286	655
304	287	654
305	287	652
306	288	652
307	289	650
308	290	648
309	290	647
310	291	645
311	292	644
312	292	642
313	293	640
314	293	639
315	294	637
316	295	636
317	296	634
318	296	633
319	297	631
320	297	630
321	298	628
322	299	627
323	299	625
324	300	624
325	301	622
326	301	621
327	302	619
328	303	618
329	303	616
330	304	615
331	304	613
332	305	612
333	306	610
334	306	609
335	307	607
336	308	606
337	308	604
338	309	603
339	309	601
340	310	600
341	311	598
342	311	596
343	312	595
344	312	594
345	313	592
346	314	591
347	314	589
348	315	588
349	315	586
350	316	585
351	317	583
352	317	582
